Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Offset (s)	Begin File	End File
162	Spectrogram 1	1	11882.460576154	11884.073177136	35.1	141.4	11882.461		
163	Waveform 1	1	11905.070402893	11906.404969223	48.7	116.5	11905.070		
163	Spectrogram 1	1	11905.070402893	11906.404969223	48.7	116.5	11905.070		
164	Waveform 1	1	12013.926761829	12014.899883111	69.0	132.4	12013.927		
164	Spectrogram 1	1	12013.926761829	12014.899883111	69.0	132.4	12013.927		
165	Waveform 1	1	12028.189939483	12029.413291952	73.5	191.2	12028.190		
165	Spectrogram 1	1	12028.189939483	12029.413291952	73.5	191.2	12028.190		
166	Waveform 1	1	12071.849824667	12072.739535554	123.3	204.8	12071.850		
166	Spectrogram 1	1	12071.849824667	12072.739535554	123.3	204.8	12071.850		
167	Waveform 1	1	12118.095432115	12119.290981119	121.1	259.1	12118.096		
167	Spectrogram 1	1	12118.095432115	12119.290981119	121.1	259.1	12118.096		
168	Waveform 1	1	12140.735836563	12141.430923193	98.4	225.1	12140.736		
168	Spectrogram 1	1	12140.735836563	12141.430923193	98.4	225.1	12140.736		
169	Waveform 1	1	12160.404044476	12161.099131106	103.0	222.9	12160.404		
169	Spectrogram 1	1	12160.404044476	12161.099131106	103.0	222.9	12160.404		
170	Waveform 1	1	12163.184390997	12163.935084558	118.8	227.4	12163.184		
170	Spectrogram 1	1	12163.184390997	12163.935084558	118.8	227.4	12163.184		
171	Waveform 1	1	12341.816472716	12342.622773207	78.1	136.9	12341.817		
171	Spectrogram 1	1	12341.816472716	12342.622773207	78.1	136.9	12341.817		
172	Waveform 1	1	12372.711732088	12373.935084558	66.8	161.8	12372.712		
172	Spectrogram 1	1	12372.711732088	12373.935084558	66.8	161.8	12372.712		
173	Waveform 1	1	12408.850749414	12409.879477627	73.5	173.1	12408.851		
173	Spectrogram 1	1	12408.850749414	12409.879477627	73.5	173.1	12408.851		
174	Waveform 1	1	12411.992540983	12412.548610288	114.3	222.9	12411.993		
174	Spectrogram 1	1	12411.992540983	12412.548610288	114.3	222.9	12411.993		
175	Waveform 1	1	12438.700635116	12439.395721747	98.4	170.8	12438.701		
175	Spectrogram 1	1	12438.700635116	12439.395721747	98.4	170.8	12438.701		
176	Waveform 1	1	12456.911904831	12458.190864231	93.9	175.4	12456.912		
176	Spectrogram 1	1	12456.911904831	12458.190864231	93.9	175.4	12456.912		
177	Waveform 1	1	12479.460576154	12480.461500901	84.9	175.4	12479.461		
177	Spectrogram 1	1	12479.460576154	12480.461500901	84.9	175.4	12479.461		
178	Waveform 1	1	12505.626472197	12506.571790015	71.3	175.4	12505.627		
178	Spectrogram 1	1	12505.626472197	12506.571790015	71.3	175.4	12505.627		
179	Waveform 1	1	12538.623697954	12540.208495472	73.5	166.3	12538.624		
179	Spectrogram 1	1	12538.623697954	12540.208495472	73.5	166.3	12538.624		
180	Waveform 1	1	12565.181616754	12566.126934571	93.9	155.0	12565.182		
180	Spectrogram 1	1	12565.181616754	12566.126934571	93.9	155.0	12565.182		
181	Waveform 1	1	12625.818322211	12626.791443493	84.9	161.8	12625.818		
181	Spectrogram 1	1	12625.818322211	12626.791443493	84.9	161.8	12625.818		
182	Waveform 1	1	12647.068553398	12647.958264285	98.4	161.8	12647.069		
182	Spectrogram 1	1	12647.068553398	12647.958264285	98.4	161.8	12647.069		
183	Waveform 1	1	12668.321558828	12669.656125158	75.8	200.2	12668.322		
183	Spectrogram 1	1	12668.321558828	12669.656125158	75.8	200.2	12668.322		
184	Waveform 1	1	12688.570865267	12689.460576154	112.0	198.0	12688.571		
184	Spectrogram 1	1	12688.570865267	12689.460576154	112.0	198.0	12688.571		
185	Waveform 1	1	12890.874853889	12891.653350915	130.1	202.5	12890.875		
185	Spectrogram 1	1	12890.874853889	12891.653350915	130.1	202.5	12890.875		
186	Waveform 1	1	12924.736761311	12925.737686058	130.1	200.2	12924.737		
186	Spectrogram 1	1	12924.736761311	12925.737686058	130.1	200.2	12924.737		
187	Waveform 1	1	12952.323408323	12953.324333071	118.8	191.2	12952.323		
187	Spectrogram 1	1	12952.323408323	12953.324333071	118.8	191.2	12952.323		
188	Waveform 1	1	12984.820171706	12985.654275663	107.5	173.1	12984.820		
188	Spectrogram 1	1	12984.820171706	12985.654275663	107.5	173.1	12984.820		
189	Waveform 1	1	13059.683928623	13060.434622184	114.3	193.5	13059.684		
189	Spectrogram 1	1	13059.683928623	13060.434622184	114.3	193.5	13059.684		
190	Waveform 1	1	13114.929536072	13116.041674680	71.3	204.8	13114.930		
190	Spectrogram 1	1	13114.929536072	13116.041674680	71.3	204.8	13114.930		
191	Waveform 1	1	13152.900807859	13154.513408841	64.5	188.9	13152.901		
191	Spectrogram 1	1	13152.900807859	13154.513408841	64.5	188.9	13152.901		
192	Waveform 1	1	13188.211269715	13189.295604858	78.1	150.5	13188.211		
192	Spectrogram 1	1	13188.211269715	13189.295604858	78.1	150.5	13188.211		
193	Waveform 1	1	13237.787744503	13238.816472716	69.0	195.7	13237.788		
193	Spectrogram 1	1	13237.787744503	13238.816472716	69.0	195.7	13237.788		
194	Waveform 1	1	13271.571790015	13272.656125158	69.0	166.3	13271.572		
194	Spectrogram 1	1	13271.571790015	13272.656125158	69.0	166.3	13271.572		
195	Waveform 1	1	13413.767339019	13414.518032580	69.0	186.7	13413.767		
195	Spectrogram 1	1	13413.767339019	13414.518032580	69.0	186.7	13413.767		
196	Waveform 1	1	13447.073177136	13447.740460301	93.9	202.5	13447.073		
196	Spectrogram 1	1	13447.073177136	13447.740460301	93.9	202.5	13447.073		
197	Waveform 1	1	13651.404044476	13652.182541502	109.7	182.1	13651.404		
197	Spectrogram 1	1	13651.404044476	13652.182541502	109.7	182.1	13651.404		
198	Waveform 1	1	13686.878552880	13687.823870697	109.7	193.5	13686.879		
198	Spectrogram 1	1	13686.878552880	13687.823870697	109.7	193.5	13686.879		
199	Waveform 1	1	13855.540287559	13856.902657354	96.2	188.9	13855.540		
199	Spectrogram 1	1	13855.540287559	13856.902657354	96.2	188.9	13855.540		
200	Waveform 1	1	13881.433697436	13883.129708814	139.2	207.0	13881.434		
200	Spectrogram 1	1	13881.433697436	13883.129708814	139.2	207.0	13881.434		
201	Waveform 1	1	13908.600518228	13909.907281093	132.4	211.6	13908.601		
201	Spectrogram 1	1	13908.600518228	13909.907281093	132.4	211.6	13908.601		
202	Waveform 1	1	14017.762715280	14018.986067750	112.0	195.7	14017.763		
202	Spectrogram 1	1	14017.762715280	14018.986067750	112.0	195.7	14017.763		
203	Waveform 1	1	14051.624622702	14052.847975171	87.1	243.2	14051.625		
203	Spectrogram 1	1	14051.624622702	14052.847975171	87.1	243.2	14051.625		
204	Waveform 1	1	14101.682079128	14102.683003875	71.3	170.8	14101.682		
204	Spectrogram 1	1	14101.682079128	14102.683003875	71.3	170.8	14101.682		
205	Waveform 1	1	14159.349362293	14160.294680110	82.6	182.1	14159.349		
205	Spectrogram 1	1	14159.349362293	14160.294680110	82.6	182.1	14159.349		
206	Waveform 1	1	14282.847050424	14283.931385567	75.8	175.4	14282.847		
206	Spectrogram 1	1	14282.847050424	14283.931385567	75.8	175.4	14282.847		
207	Waveform 1	1	14481.931385567	14482.709882593	69.0	177.6	14481.931		
207	Spectrogram 1	1	14481.931385567	14482.709882593	69.0	177.6	14481.931		
208	Waveform 1	1	14587.045373671	14587.962888023	103.0	166.3	14587.045		
208	Spectrogram 1	1	14587.045373671	14587.962888023	103.0	166.3	14587.045		
209	Waveform 1	1	14719.237223684	14720.321558828	93.9	202.5	14719.237		
209	Spectrogram 1	1	14719.237223684	14720.321558828	93.9	202.5	14719.237		
210	Waveform 1	1	14763.266876645	14764.100980601	116.5	182.1	14763.267		
210	Spectrogram 1	1	14763.266876645	14764.100980601	116.5	182.1	14763.267		
211	Waveform 1	1	14848.212194462	14849.157512279	125.6	204.8	14848.212		
211	Spectrogram 1	1	14848.212194462	14849.157512279	125.6	204.8	14848.212		
212	Waveform 1	1	14937.405893971	14938.712656836	66.8	159.5	14937.406		
212	Spectrogram 1	1	14937.405893971	14938.712656836	66.8	159.5	14937.406		
213	Waveform 1	1	15002.268726140	15003.186240492	82.6	148.2	15002.269		
213	Spectrogram 1	1	15002.268726140	15003.186240492	82.6	148.2	15002.269		
214	Waveform 1	1	15046.351211788	15047.491153862	84.9	175.4	15046.351		
214	Spectrogram 1	1	15046.351211788	15047.491153862	84.9	175.4	15046.351		
215	Waveform 1	1	15078.653350915	15079.459651406	103.0	155.0	15078.653		
215	Spectrogram 1	1	15078.653350915	15079.459651406	103.0	155.0	15078.653		
216	Waveform 1	1	15198.600518228	15199.601442975	64.5	177.6	15198.601		
216	Spectrogram 1	1	15198.600518228	15199.601442975	64.5	177.6	15198.601		
217	Waveform 1	1	15328.515258337	15329.822021202	57.7	157.3	15328.515		
217	Spectrogram 1	1	15328.515258337	15329.822021202	57.7	157.3	15328.515		
218	Waveform 1	1	15384.069478145	15385.431847941	50.9	136.9	15384.070		
218	Spectrogram 1	1	15384.069478145	15385.431847941	50.9	136.9	15384.070		
219	Waveform 1	1	15553.740460301	15554.685778118	71.3	184.4	15553.741		
219	Spectrogram 1	1	15553.740460301	15554.685778118	71.3	184.4	15553.741		
220	Waveform 1	1	15580.768263766	15581.741385049	143.7	225.1	15580.768		
220	Spectrogram 1	1	15580.768263766	15581.741385049	143.7	225.1	15580.768		
221	Waveform 1	1	15627.711732088	15628.907281093	57.7	152.7	15627.712		
221	Spectrogram 1	1	15627.711732088	15628.907281093	57.7	152.7	15627.712		
222	Waveform 1	1	15700.545836045	15701.741385049	62.2	184.4	15700.546		
222	Spectrogram 1	1	15700.545836045	15701.741385049	62.2	184.4	15700.546		
223	Waveform 1	1	15801.544911297	15802.629246440	60.0	155.0	15801.545		
223	Spectrogram 1	1	15801.544911297	15802.629246440	60.0	155.0	15801.545		
224	Waveform 1	1	15872.157512279	15872.936009305	73.5	166.3	15872.158		
224	Spectrogram 1	1	15872.157512279	15872.936009305	73.5	166.3	15872.158		
225	Waveform 1	1	15924.600518228	15925.740460301	46.4	152.7	15924.601		
225	Spectrogram 1	1	15924.600518228	15925.740460301	46.4	152.7	15924.601		
226	Waveform 1	1	16088.902657354	16090.515258337	80.3	186.7	16088.903		
226	Spectrogram 1	1	16088.902657354	16090.515258337	80.3	186.7	16088.903		
227	Waveform 1	1	16141.459651406	16143.127859319	55.4	211.6	16141.460		
227	Spectrogram 1	1	16141.459651406	16143.127859319	55.4	211.6	16141.460		
228	Waveform 1	1	16369.935084558	16371.158437027	84.9	143.7	16369.935		
228	Spectrogram 1	1	16369.935084558	16371.158437027	84.9	143.7	16369.935		
229	Waveform 1	1	16374.049997409	16374.967511761	100.7	168.6	16374.050		
229	Spectrogram 1	1	16374.049997409	16374.967511761	100.7	168.6	16374.050		
230	Waveform 1	1	16402.712656836	16403.963812771	57.7	143.7	16402.713		
230	Spectrogram 1	1	16402.712656836	16403.963812771	57.7	143.7	16402.713		
231	Waveform 1	1	16426.657049906	16427.602367723	71.3	164.0	16426.657		
231	Spectrogram 1	1	16426.657049906	16427.602367723	71.3	164.0	16426.657		
232	Waveform 1	1	16624.715431079	16625.771962757	91.6	173.1	16624.716		
232	Spectrogram 1	1	16624.715431079	16625.771962757	91.6	173.1	16624.716		
233	Waveform 1	1	16801.684853371	16802.713581584	112.0	184.4	16801.685		
233	Spectrogram 1	1	16801.684853371	16802.713581584	112.0	184.4	16801.685		
234	Waveform 1	1	16832.655200410	16834.184390997	75.8	188.9	16832.655		
234	Spectrogram 1	1	16832.655200410	16834.184390997	75.8	188.9	16832.655		
235	Waveform 1	1	16865.733062320	16866.622773207	109.7	182.1	16865.733		
235	Spectrogram 1	1	16865.733062320	16866.622773207	109.7	182.1	16865.733		
236	Waveform 1	1	16886.710807341	16887.878552880	82.6	195.7	16886.711		
236	Spectrogram 1	1	16886.710807341	16887.878552880	82.6	195.7	16886.711		
237	Waveform 1	1	16918.796067232	16919.991616236	80.3	177.6	16918.796		
237	Spectrogram 1	1	16918.796067232	16919.991616236	80.3	177.6	16918.796		
238	Waveform 1	1	17036.877628132	17037.906356345	96.2	168.6	17036.878		
238	Spectrogram 1	1	17036.877628132	17037.906356345	96.2	168.6	17036.878		
239	Waveform 1	1	17067.461500901	17068.768263766	87.1	195.7	17067.462		
239	Spectrogram 1	1	17067.461500901	17068.768263766	87.1	195.7	17067.462		
240	Waveform 1	1	17109.024968187	17109.664447887	118.8	211.6	17109.025		
240	Spectrogram 1	1	17109.024968187	17109.664447887	118.8	211.6	17109.025		
241	Waveform 1	1	17294.988841993	17296.073177136	100.7	193.5	17294.989		
241	Spectrogram 1	1	17294.988841993	17296.073177136	100.7	193.5	17294.989		
242	Waveform 1	1	17374.765489523	17376.183466249	62.2	182.1	17374.766		
242	Spectrogram 1	1	17374.765489523	17376.183466249	62.2	182.1	17374.766		
243	Waveform 1	1	17470.017570206	17471.741385049	53.2	191.2	17470.018		
243	Spectrogram 1	1	17470.017570206	17471.741385049	53.2	191.2	17470.018		
244	Waveform 1	1	17515.823870697	17516.991616236	89.4	179.9	17515.824		
244	Spectrogram 1	1	17515.823870697	17516.991616236	89.4	179.9	17515.824		
245	Waveform 1	1	17641.017570206	17642.157512279	93.9	168.6	17641.018		
245	Spectrogram 1	1	17641.017570206	17642.157512279	93.9	168.6	17641.018		
246	Waveform 1	1	17921.210344967	17922.489304367	50.9	168.6	17921.210		
246	Spectrogram 1	1	17921.210344967	17922.489304367	50.9	168.6	17921.210		
247	Waveform 1	1	18072.711732088	18073.518032580	112.0	207.0	18072.712		
247	Spectrogram 1	1	18072.711732088	18073.518032580	112.0	207.0	18072.712		
248	Waveform 1	1	18122.516183084	18123.711732088	80.3	182.1	18122.516		
248	Spectrogram 1	1	18122.516183084	18123.711732088	80.3	182.1	18122.516		
249	Waveform 1	1	18151.267801393	18152.491153862	114.3	195.7	18151.268		
249	Spectrogram 1	1	18151.267801393	18152.491153862	114.3	195.7	18151.268		
250	Waveform 1	1	18193.879477627	18194.796991979	134.6	182.1	18193.880		
250	Spectrogram 1	1	18193.879477627	18194.796991979	134.6	182.1	18193.880		
251	Waveform 1	1	18266.599593480	18268.629246440	66.8	184.4	18266.600		
251	Spectrogram 1	1	18266.599593480	18268.629246440	66.8	184.4	18266.600		
252	Waveform 1	1	18448.737686058	18450.600518228	105.2	191.2	18448.738		
252	Spectrogram 1	1	18448.737686058	18450.600518228	105.2	191.2	18448.738		
253	Waveform 1	1	18494.210344967	18495.350287041	89.4	186.7	18494.210		
253	Spectrogram 1	1	18494.210344967	18495.350287041	89.4	186.7	18494.210		
254	Waveform 1	1	18592.017570206	18593.046298419	118.8	179.9	18592.018		
254	Spectrogram 1	1	18592.017570206	18593.046298419	118.8	179.9	18592.018		
255	Waveform 1	1	18629.182541502	18630.100055854	89.4	186.7	18629.183		
255	Spectrogram 1	1	18629.182541502	18630.100055854	89.4	186.7	18629.183		
256	Waveform 1	1	18685.573639510	18686.796991979	55.4	170.8	18685.574		
256	Spectrogram 1	1	18685.573639510	18686.796991979	55.4	170.8	18685.574		
257	Waveform 1	1	18699.961963275	18700.768263766	84.9	139.2	18699.962		
257	Spectrogram 1	1	18699.961963275	18700.768263766	84.9	139.2	18699.962		
258	Waveform 1	1	19030.848899919	19032.989766740	57.7	198.0	19030.849		
258	Spectrogram 1	1	19030.848899919	19032.989766740	57.7	198.0	19030.849		
259	Waveform 1	1	19201.462425649	19202.518957327	87.1	186.7	19201.462		
259	Spectrogram 1	1	19201.462425649	19202.518957327	87.1	186.7	19201.462		
