Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	status
801	Spectrogram 1	1	9640.325073242	9642.146850586	1300.0	1450.0	
802	Spectrogram 1	1	9690.033569336	9692.115600586	1000.0	1750.0	
803	Spectrogram 1	1	9705.648803711	9707.991088867	1300.0	1450.0	
804	Spectrogram 1	1	9733.495971680	9736.098510742	1200.0	1450.0	
805	Spectrogram 1	1	9762.384155273	9764.205932617	1250.0	1650.0	
806	Spectrogram 1	1	9779.951293945	9781.903198242	1300.0	1550.0	
807	Spectrogram 1	1	9796.737670898	9799.079956055	1200.0	1600.0	
808	Spectrogram 1	1	9825.365600586	9826.927124023	1300.0	1550.0	
809	Spectrogram 1	1	9858.157592773	9859.979370117	1300.0	1550.0	
810	Spectrogram 1	1	9918.796752930	9921.659545898	1300.0	1600.0	
811	Spectrogram 1	1	9952.109252930	9954.191284180	1350.0	1500.0	
812	Spectrogram 1	1	9979.696166992	9980.737182617	1300.0	1450.0	
813	Spectrogram 1	1	10012.227905273	10013.268920898	1300.0	1450.0	
814	Spectrogram 1	1	10074.949096680	10076.510620117	1300.0	1600.0	
815	Spectrogram 1	1	10104.357788086	10107.480834961	1200.0	1600.0	
816	Spectrogram 1	1	10134.807495117	10136.369018555	1300.0	1450.0	
817	Spectrogram 1	1	10158.490600586	10160.052124023	1300.0	1550.0	
818	Spectrogram 1	1	10216.006713867	10217.307983398	1300.0	1450.0	
819	Spectrogram 1	1	10248.278198242	10250.099975586	1300.0	1450.0	
820	Spectrogram 1	1	10287.836791992	10291.740600586	1200.0	1600.0	
821	Spectrogram 1	1	10338.065795898	10339.887573242	1300.0	1550.0	
822	Spectrogram 1	1	10341.709350586	10342.750366211	1600.0	1750.0	
823	Spectrogram 1	1	10354.722045898	10356.543823242	1300.0	1450.0	
824	Spectrogram 1	1	10362.789916992	10364.611694336	1150.0	1650.0	
825	Spectrogram 1	1	10386.473022461	10388.555053711	1200.0	1550.0	
826	Spectrogram 1	1	10489.533569336	10491.095092773	1250.0	1450.0	
827	Spectrogram 1	1	10492.136108398	10493.177124023	1350.0	1500.0	
828	Spectrogram 1	1	10498.382202148	10499.943725586	1250.0	1450.0	
829	Spectrogram 1	1	10546.008666992	10548.611206055	1200.0	1550.0	
830	Spectrogram 1	1	10570.732788086	10572.294311523	1200.0	1550.0	
831	Spectrogram 1	1	10575.937866211	10576.978881836	1250.0	1400.0	
832	Spectrogram 1	1	10600.661987305	10601.703002930	1300.0	1550.0	
833	Spectrogram 1	1	10602.874145508	10604.045288086	1350.0	1550.0	
834	Spectrogram 1	1	10640.741088867	10641.782104492	1250.0	1450.0	
835	Spectrogram 1	1	10662.602416992	10665.204956055	1200.0	1450.0	
836	Spectrogram 1	1	10666.506225586	10667.807495117	1150.0	1550.0	
837	Spectrogram 1	1	10713.872436523	10715.173706055	1200.0	1450.0	
838	Spectrogram 1	1	10718.296752930	10719.337768555	1350.0	1500.0	
839	Spectrogram 1	1	10720.639038086	10721.680053711	1250.0	1500.0	
840	Spectrogram 1	1	10743.801635742	10745.102905273	1300.0	1550.0	
841	Spectrogram 1	1	10750.568237305	10752.390014648	1300.0	1450.0	
842	Spectrogram 1	1	10780.497436523	10782.058959961	1300.0	1450.0	
843	Spectrogram 1	1	10783.620483398	10786.223022461	1200.0	1700.0	
844	Spectrogram 1	1	10813.549682617	10816.152221680	1200.0	1500.0	
845	Spectrogram 1	1	10821.097045898	10823.699584961	1300.0	1550.0	
846	Spectrogram 1	1	10845.821166992	10846.862182617	1300.0	1450.0	
847	Spectrogram 1	1	10852.067260742	10853.889038086	1300.0	1450.0	
848	Spectrogram 1	1	10884.338745117	10886.941284180	1200.0	1550.0	
849	Spectrogram 1	1	10914.528198242	10917.651245117	1200.0	1700.0	
850	Spectrogram 1	1	10950.963745117	10953.045776367	1250.0	1600.0	
851	Spectrogram 1	1	10955.127807617	10956.168823242	1300.0	1450.0	
852	Spectrogram 1	1	10976.728881836	10978.030151367	1300.0	1550.0	
853	Spectrogram 1	1	11005.877319336	11007.699096680	1200.0	1450.0	
854	Spectrogram 1	1	11012.904174805	11013.945190430	1300.0	1450.0	
855	Spectrogram 1	1	11040.491088867	11042.833374023	1300.0	1600.0	
856	Spectrogram 1	1	11047.257690430	11049.860229492	1200.0	1500.0	
857	Spectrogram 1	1	11104.903930664	11106.855834961	1300.0	1450.0	
858	Spectrogram 1	1	11144.332397461	11145.373413086	1300.0	1450.0	
859	Spectrogram 1	1	11172.439819336	11174.261596680	1300.0	1450.0	
860	Spectrogram 1	1	11203.410034180	11205.492065430	1300.0	1450.0	
861	Spectrogram 1	1	11233.339233398	11235.161010742	1300.0	1500.0	
862	Spectrogram 1	1	11267.953002930	11270.555541992	1300.0	1600.0	
863	Spectrogram 1	1	11326.770385742	11329.893432617	1300.0	1450.0	
864	Spectrogram 1	1	11334.578002930	11336.139526367	1300.0	1500.0	
865	Spectrogram 1	1	11362.295043945	11364.767456055	1300.0	1450.0	
866	Spectrogram 1	1	11389.491577148	11391.053100586	1300.0	1450.0	
867	Spectrogram 1	1	11446.226928711	11448.829467773	1300.0	1550.0	
868	Spectrogram 1	1	11454.815307617	11456.376831055	1300.0	1550.0	
869	Spectrogram 1	1	11507.907104492	11508.948120117	1250.0	1400.0	
870	Spectrogram 1	1	11534.713256836	11536.014526367	1300.0	1450.0	
871	Spectrogram 1	1	11566.203979492	11567.244995117	1300.0	1450.0	
872	Spectrogram 1	1	11597.954956055	11600.297241211	1300.0	1450.0	
873	Spectrogram 1	1	11642.718627930	11643.759643555	1400.0	1550.0	
874	Spectrogram 1	1	11650.396118164	11651.567260742	1600.0	1750.0	
875	Spectrogram 1	1	11750.463745117	11753.326538086	1300.0	1700.0	
876	Spectrogram 1	1	11787.680053711	11788.981323242	1300.0	1450.0	
877	Spectrogram 1	1	11806.027954102	11807.459350586	1450.0	1600.0	
878	Spectrogram 1	1	11812.664428711	11814.225952148	1400.0	1650.0	
879	Spectrogram 1	1	11862.242797852	11863.413940430	1100.0	1250.0	
880	Spectrogram 1	1	11898.808471680	11900.630249023	1300.0	1450.0	
881	Spectrogram 1	1	11925.614624023	11928.217163086	1250.0	1550.0	
882	Spectrogram 1	1	11951.509887695	11952.681030273	1400.0	1550.0	
883	Spectrogram 1	1	11985.473022461	11988.075561523	1300.0	1550.0	
884	Spectrogram 1	1	12010.717651367	12012.799682617	1300.0	1450.0	
885	Spectrogram 1	1	12013.320190430	12014.361206055	1300.0	1450.0	
886	Spectrogram 1	1	12040.646850586	12042.728881836	1300.0	1450.0	
887	Spectrogram 1	1	12096.341186523	12097.382202148	1250.0	1400.0	
888	Spectrogram 1	1	12104.409057617	12105.710327148	1300.0	1450.0	
889	Spectrogram 1	1	12120.674926758	12122.366577148	1450.0	1600.0	
890	Spectrogram 1	1	12131.995971680	12133.817749023	1300.0	1450.0	
891	Spectrogram 1	1	12160.623901367	12162.185424805	1400.0	1550.0	
892	Spectrogram 1	1	12185.348022461	12187.430053711	1300.0	1550.0	
893	Spectrogram 1	1	12217.098999023	12219.441284180	1300.0	1450.0	
894	Spectrogram 1	1	12246.247436523	12248.069213867	1300.0	1450.0	
895	Spectrogram 1	1	12265.636352539	12266.807495117	1150.0	1300.0	
896	Spectrogram 1	1	12330.049194336	12331.870971680	1300.0	1500.0	
897	Spectrogram 1	1	12332.391479492	12333.432495117	1300.0	1450.0	
898	Spectrogram 1	1	12359.457885742	12360.759155273	1300.0	1500.0	
899	Spectrogram 1	1	12362.060424805	12363.361694336	1300.0	1550.0	
900	Spectrogram 1	1	12438.054565430	12439.095581055	1350.0	1500.0	
901	Spectrogram 1	1	12464.990844727	12466.161987305	1350.0	1500.0	
902	Spectrogram 1	1	12571.044311523	12572.866088867	1300.0	1450.0	
903	Spectrogram 1	1	12592.905639648	12594.206909180	1250.0	1400.0	
904	Spectrogram 1	1	12650.421752930	12651.723022461	1300.0	1450.0	
905	Spectrogram 1	1	12658.749877930	12659.790893555	1300.0	1450.0	
906	Spectrogram 1	1	12680.871459961	12682.172729492	1550.0	1700.0	
907	Spectrogram 1	1	12690.240600586	12693.103393555	1250.0	1700.0	
908	Spectrogram 1	1	12760.769409180	12763.892456055	1200.0	1700.0	
909	Spectrogram 1	1	12808.526000977	12809.957397461	1300.0	1450.0	
910	Spectrogram 1	1	12843.530151367	12844.571166992	1300.0	1450.0	
911	Spectrogram 1	1	12895.320678711	12898.964233398	1200.0	1700.0	
912	Spectrogram 1	1	12967.150756836	12968.452026367	1550.0	1750.0	
913	Spectrogram 1	1	12971.835327148	12972.876342773	1400.0	1550.0	
914	Spectrogram 1	1	13001.504272461	13003.326049805	1300.0	1600.0	
915	Spectrogram 1	1	13006.188842773	13007.490112305	1250.0	1550.0	
916	Spectrogram 1	1	13063.835083008	13065.786987305	1300.0	1450.0	
917	Spectrogram 1	1	13132.411987305	13134.494018555	1250.0	1550.0	
918	Spectrogram 1	1	13191.229370117	13193.311401367	1350.0	1550.0	
919	Spectrogram 1	1	13222.980346680	13224.802124023	1300.0	1450.0	
920	Spectrogram 1	1	13269.565795898	13270.867065430	1300.0	1550.0	
921	Spectrogram 1	1	13285.961791992	13287.002807617	1300.0	1450.0	
922	Spectrogram 1	1	13315.110229492	13316.151245117	1300.0	1450.0	
923	Spectrogram 1	1	13330.204956055	13331.245971680	1300.0	1550.0	
924	Spectrogram 1	1	13381.735229492	13383.817260742	1300.0	1550.0	
925	Spectrogram 1	1	13415.828491211	13417.650268555	1300.0	1500.0	
926	Spectrogram 1	1	13450.442260742	13452.264038086	1250.0	1450.0	
927	Spectrogram 1	1	13487.918823242	13489.220092773	1250.0	1450.0	
928	Spectrogram 1	1	13538.928588867	13541.791381836	1250.0	1450.0	
929	Spectrogram 1	1	13545.174682617	13547.516967773	1300.0	1450.0	
930	Spectrogram 1	1	13557.146362305	13558.968139648	1300.0	1550.0	
931	Spectrogram 1	1	13586.555053711	13588.376831055	1300.0	1550.0	
932	Spectrogram 1	1	13616.484252930	13618.306030273	1300.0	1500.0	
933	Spectrogram 1	1	13628.976440430	13630.537963867	1250.0	1500.0	
934	Spectrogram 1	1	13673.479858398	13675.041381836	1400.0	1550.0	
935	Spectrogram 1	1	13720.325561523	13721.366577148	1050.0	1200.0	
936	Spectrogram 1	1	13724.749877930	13727.872924805	1300.0	1550.0	
937	Spectrogram 1	1	13734.899780273	13736.721557617	1200.0	1550.0	
938	Spectrogram 1	1	13764.828979492	13765.869995117	1300.0	1450.0	
939	Spectrogram 1	1	13785.389038086	13786.690307617	1300.0	1500.0	
940	Spectrogram 1	1	13787.471069336	13790.333862305	1150.0	1450.0	
941	Spectrogram 1	1	13810.373413086	13811.674682617	1300.0	1450.0	
942	Spectrogram 1	1	13870.752319336	13872.834350586	1350.0	1550.0	
943	Spectrogram 1	1	13909.269897461	13911.091674805	1300.0	1550.0	
944	Spectrogram 1	1	13931.651733398	13932.692749023	1300.0	1450.0	
945	Spectrogram 1	1	13963.012329102	13964.183471680	1300.0	1450.0	
946	Spectrogram 1	1	13988.387084961	13989.948608398	1300.0	1600.0	
947	Spectrogram 1	1	14020.918823242	14023.000854492	1300.0	1550.0	
948	Spectrogram 1	1	14023.521362305	14025.082885742	1300.0	1450.0	
949	Spectrogram 1	1	14032.369995117	14033.671264648	1350.0	1600.0	
950	Spectrogram 1	1	14072.058715820	14073.229858398	1300.0	1450.0	
951	Spectrogram 1	1	14112.007690430	14113.308959961	1250.0	1400.0	
952	Spectrogram 1	1	14136.211303711	14139.334350586	1300.0	1550.0	
953	Spectrogram 1	1	14155.730346680	14157.552124023	1300.0	1550.0	
954	Spectrogram 1	1	14188.652465820	14190.344116211	1350.0	1550.0	
955	Spectrogram 1	1	14213.246459961	14214.547729492	1300.0	1550.0	
956	Spectrogram 1	1	14244.737182617	14246.038452148	1400.0	1550.0	
957	Spectrogram 1	1	14285.597045898	14287.679077148	1300.0	1600.0	
958	Spectrogram 1	1	14353.913696289	14356.125854492	1200.0	1450.0	
959	Spectrogram 1	1	14377.206420898	14378.767944336	1300.0	1550.0	
960	Spectrogram 1	1	14379.288452148	14380.589721680	1300.0	1450.0	
961	Spectrogram 1	1	14402.451049805	14404.533081055	1200.0	1600.0	
962	Spectrogram 1	1	14411.950317383	14413.381713867	1350.0	1500.0	
963	Spectrogram 1	1	14464.781860352	14465.953002930	1450.0	1600.0	
964	Spectrogram 1	1	14474.020874023	14475.322143555	1300.0	1550.0	
965	Spectrogram 1	1	14489.115600586	14491.718139648	1300.0	1500.0	
966	Spectrogram 1	1	14516.962768555	14518.524291992	1300.0	1500.0	
967	Spectrogram 1	1	14539.865112305	14541.947143555	1300.0	1550.0	
968	Spectrogram 1	1	14586.320434570	14587.751831055	1300.0	1450.0	
969	Spectrogram 1	1	14605.579223633	14606.750366211	1300.0	1450.0	
970	Spectrogram 1	1	14615.338745118	14616.900268555	1250.0	1450.0	
971	Spectrogram 1	1	14624.707885742	14625.748901367	1300.0	1450.0	
972	Spectrogram 1	1	14626.920043945	14628.611694336	1300.0	1450.0	
973	Spectrogram 1	1	14657.499877930	14658.540893555	1250.0	1400.0	
974	Spectrogram 1	1	14659.581909180	14660.883178711	1250.0	1450.0	
975	Spectrogram 1	1	14689.511108398	14691.072631836	1300.0	1450.0	
976	Spectrogram 1	1	14724.515258789	14726.987670898	1300.0	1450.0	
977	Spectrogram 1	1	14735.576049805	14737.137573242	1300.0	1450.0	
978	Spectrogram 1	1	14785.024291992	14786.065307617	1300.0	1450.0	
979	Spectrogram 1	1	14796.475463867	14798.036987305	1300.0	1550.0	
980	Spectrogram 1	1	14803.372192383	14804.543334961	1300.0	1450.0	
981	Spectrogram 1	1	14821.199584961	14823.541870117	1300.0	1450.0	
982	Spectrogram 1	1	14857.114624023	14859.196655273	1300.0	1450.0	
983	Spectrogram 1	1	14864.141479492	14865.442749023	1300.0	1450.0	
984	Spectrogram 1	1	14872.990112305	14874.031127930	1300.0	1550.0	
985	Spectrogram 1	1	14880.016967773	14881.578491211	1450.0	1600.0	
986	Spectrogram 1	1	14889.125854492	14891.207885742	1300.0	1450.0	
987	Spectrogram 1	1	14894.591186523	14896.412963867	1300.0	1550.0	
988	Spectrogram 1	1	14922.698608398	14924.780639648	1200.0	1450.0	
989	Spectrogram 1	1	14957.832885742	14958.873901367	1300.0	1450.0	
990	Spectrogram 1	1	14959.654663086	14961.476440430	1300.0	1450.0	
991	Spectrogram 1	1	14973.708374023	14975.009643555	1050.0	1450.0	
992	Spectrogram 1	1	14977.221801758	14978.392944336	1250.0	1400.0	
993	Spectrogram 1	1	14981.255737305	14983.337768555	1300.0	1500.0	
994	Spectrogram 1	1	14990.364624023	14992.446655273	1300.0	1450.0	
995	Spectrogram 1	1	15011.705444336	15013.006713867	1300.0	1450.0	
996	Spectrogram 1	1	15020.554077148	15022.896362305	1250.0	1550.0	
997	Spectrogram 1	1	15046.579467773	15048.921752930	1250.0	1700.0	
998	Spectrogram 1	1	15049.182006836	15050.223022461	1300.0	1550.0	
999	Spectrogram 1	1	15059.462036133	15060.893432617	1300.0	1450.0	
1000	Spectrogram 1	1	15062.454956055	15064.016479492	1400.0	1550.0	
1001	Spectrogram 1	1	15072.865112305	15074.426635742	1300.0	1450.0	
1002	Spectrogram 1	1	15077.029174805	15079.371459961	1300.0	1500.0	
1003	Spectrogram 1	1	15089.521362305	15091.343139648	1300.0	1550.0	
1004	Spectrogram 1	1	15100.061645508	15101.493041992	1300.0	1450.0	
1005	Spectrogram 1	1	15103.835327148	15105.657104492	1250.0	1450.0	
1006	Spectrogram 1	1	15106.958374023	15109.300659180	1300.0	1450.0	
1007	Spectrogram 1	1	15117.498657227	15119.190307617	1300.0	1550.0	
1008	Spectrogram 1	1	15135.846557617	15138.709350586	1300.0	1500.0	
1009	Spectrogram 1	1	15141.832397461	15144.174682617	1300.0	1500.0	
1010	Spectrogram 1	1	15169.159057617	15172.282104492	1300.0	1450.0	
1011	Spectrogram 1	1	15181.781372070	15183.473022461	1300.0	1450.0	
1012	Spectrogram 1	1	15192.842163086	15193.883178711	1300.0	1450.0	
1013	Spectrogram 1	1	15201.170288086	15202.211303711	1550.0	1750.0	
1014	Spectrogram 1	1	15203.772827148	15205.334350586	1300.0	1450.0	
1015	Spectrogram 1	1	15213.272094727	15215.223999023	1300.0	1450.0	
1016	Spectrogram 1	1	15219.127807617	15220.429077148	1250.0	1400.0	
1017	Spectrogram 1	1	15227.716186523	15230.578979492	1300.0	1500.0	
1018	Spectrogram 1	1	15235.784057617	15238.386596680	1300.0	1600.0	
1019	Spectrogram 1	1	15240.208374023	15243.071166992	1300.0	1450.0	
1020	Spectrogram 1	1	15261.549194336	15264.151733398	1300.0	1450.0	
1021	Spectrogram 1	1	15272.219604492	15274.561889648	1150.0	1450.0	
1022	Spectrogram 1	1	15291.738647461	15293.039916992	1250.0	1550.0	
1023	Spectrogram 1	1	15312.038452148	15314.640991211	1050.0	1450.0	
1024	Spectrogram 1	1	15320.366577148	15322.708862305	1250.0	1450.0	
1025	Spectrogram 1	1	15324.270385742	15325.571655273	1300.0	1450.0	
1026	Spectrogram 1	1	15345.611206055	15346.912475586	1200.0	1400.0	
1027	Spectrogram 1	1	15352.898315430	15354.199584961	1250.0	1500.0	
1028	Spectrogram 1	1	15354.720092773	15356.802124023	1300.0	1450.0	
1029	Spectrogram 1	1	15371.246215820	15374.239135742	1300.0	1450.0	
1030	Spectrogram 1	1	15381.656372070	15383.868530273	1300.0	1450.0	
1031	Spectrogram 1	1	15402.606811523	15405.209350586	1300.0	1550.0	
1032	Spectrogram 1	1	15413.277221680	15416.400268555	1300.0	1600.0	
1033	Spectrogram 1	1	15418.742553710	15420.304077148	1100.0	1350.0	
1034	Spectrogram 1	1	15424.988647461	15426.550170898	1300.0	1600.0	
1035	Spectrogram 1	1	15451.014038086	15452.835815430	1200.0	1650.0	
1036	Spectrogram 1	1	15459.081909180	15460.903686523	1200.0	1750.0	
1037	Spectrogram 1	1	15470.402954102	15472.354858398	1300.0	1450.0	
1038	Spectrogram 1	1	15484.326538086	15487.449584961	1050.0	1700.0	
1039	Spectrogram 1	1	15508.660278320	15509.831420898	1400.0	1550.0	
1040	Spectrogram 1	1	15511.132690430	15513.995483398	1150.0	1700.0	
1041	Spectrogram 1	1	15519.981323242	15522.063354492	1200.0	1650.0	
1042	Spectrogram 1	1	15532.733764648	15534.295288086	1150.0	1550.0	
1043	Spectrogram 1	1	15545.746459961	15546.787475586	1200.0	1550.0	
1044	Spectrogram 1	1	15547.828491211	15549.910522461	1100.0	1700.0	
1045	Spectrogram 1	1	15555.115600586	15558.759155273	1200.0	1700.0	
1046	Spectrogram 1	1	15576.716674805	15578.017944336	1250.0	1450.0	
1047	Spectrogram 1	1	15579.579467773	15581.140991211	1200.0	1650.0	
1048	Spectrogram 1	1	15581.401245117	15582.442260742	1300.0	1550.0	
1049	Spectrogram 1	1	15587.387084961	15589.208862305	1050.0	1650.0	
1050	Spectrogram 1	1	15598.968383789	15600.660034180	1300.0	1450.0	
1051	Spectrogram 1	1	15610.549682617	15613.672729492	1100.0	1700.0	
1052	Spectrogram 1	1	15616.795776367	15618.357299805	1400.0	1550.0	
1053	Spectrogram 1	1	15640.478881836	15642.821166992	1150.0	1750.0	
1054	Spectrogram 1	1	15648.546752930	15650.108276367	1150.0	1750.0	
1055	Spectrogram 1	1	15670.408081055	15671.969604492	1300.0	1450.0	
1056	Spectrogram 1	1	15674.051635742	15676.393920898	1150.0	1750.0	
1057	Spectrogram 1	1	15678.215698242	15681.078491211	1250.0	1600.0	
1058	Spectrogram 1	1	15684.201538086	15686.283569336	1200.0	1700.0	
1059	Spectrogram 1	1	15704.501342773	15706.062866211	1300.0	1450.0	
1060	Spectrogram 1	1	15710.487182617	15712.569213867	1050.0	1700.0	
1061	Spectrogram 1	1	15714.130737305	15716.993530273	1300.0	1450.0	
1062	Spectrogram 1	1	15734.170288086	15736.772827148	1050.0	1700.0	
1063	Spectrogram 1	1	15743.018920898	15745.100952148	1200.0	1700.0	
1064	Spectrogram 1	1	15747.963745117	15751.347045898	1300.0	1550.0	
1065	Spectrogram 1	1	15766.441772461	15769.044311523	1250.0	1700.0	
1066	Spectrogram 1	1	15772.948120117	15774.509643555	1300.0	1450.0	
1067	Spectrogram 1	1	15775.290405273	15776.851928711	1200.0	1700.0	
1068	Spectrogram 1	1	15782.317260742	15784.659545898	1200.0	1450.0	
1069	Spectrogram 1	1	15796.891479492	15798.192749023	1300.0	1450.0	
1070	Spectrogram 1	1	15799.494018555	15801.576049805	1200.0	1450.0	
1071	Spectrogram 1	1	15808.082397461	15809.904174805	1200.0	1700.0	
1072	Spectrogram 1	1	15829.423217773	15830.984741211	1200.0	1650.0	
1073	Spectrogram 1	1	15835.409057617	15836.710327148	1200.0	1550.0	
1074	Spectrogram 1	1	15838.141723633	15839.833374023	1300.0	1450.0	
1075	Spectrogram 1	1	15841.394897461	15842.435913086	1300.0	1450.0	
1076	Spectrogram 1	1	15855.969116211	15857.530639648	1300.0	1450.0	
1077	Spectrogram 1	1	15860.133178711	15861.434448242	1200.0	1500.0	
1078	Spectrogram 1	1	15865.858764648	15866.899780273	1150.0	1350.0	
1079	Spectrogram 1	1	15882.775268555	15884.857299805	1200.0	1450.0	
1080	Spectrogram 1	1	15886.679077148	15888.500854492	1200.0	1700.0	
1081	Spectrogram 1	1	15890.582885742	15892.664916992	1150.0	1550.0	
1082	Spectrogram 1	1	15900.472534180	15901.773803711	1300.0	1450.0	
1083	Spectrogram 1	1	15911.142944335	15913.485229492	1300.0	1450.0	
1084	Spectrogram 1	1	15913.745483398	15916.348022461	1150.0	1700.0	
1085	Spectrogram 1	1	15920.251831055	15922.854370117	1250.0	1450.0	
1086	Spectrogram 1	1	15942.113159180	15944.715698242	1200.0	1700.0	
1087	Spectrogram 1	1	15947.318237305	15949.920776367	1100.0	1450.0	
1088	Spectrogram 1	1	15960.851440430	15962.152709961	1300.0	1500.0	
1089	Spectrogram 1	1	15962.933471680	15965.536010742	1200.0	1700.0	
1090	Spectrogram 1	1	15974.905151367	15976.466674805	1200.0	1450.0	
1091	Spectrogram 1	1	15979.069213867	15981.671752930	1200.0	1700.0	
1092	Spectrogram 1	1	15993.643432617	15994.944702148	1300.0	1450.0	
1093	Spectrogram 1	1	16008.217651367	16011.080444336	1200.0	1700.0	
1094	Spectrogram 1	1	16015.504760742	16017.847045898	1300.0	1600.0	
1095	Spectrogram 1	1	16025.524536133	16027.216186523	1300.0	1450.0	
1096	Spectrogram 1	1	16028.257202148	16029.298217773	1300.0	1450.0	
1097	Spectrogram 1	1	16035.284057617	16037.626342773	1100.0	1700.0	
1098	Spectrogram 1	1	16043.872436523	16045.694213867	1200.0	1700.0	
1099	Spectrogram 1	1	16049.858276367	16052.721069336	1200.0	1500.0	
1100	Spectrogram 1	1	16057.926147461	16059.747924805	1300.0	1450.0	
1101	Spectrogram 1	1	16063.911987305	16067.035034180	1100.0	1700.0	
1102	Spectrogram 1	1	16075.883666992	16077.965698242	1050.0	1450.0	
1103	Spectrogram 1	1	16082.910522461	16084.992553711	1250.0	1450.0	
1104	Spectrogram 1	1	16088.375854492	16090.978393555	1200.0	1700.0	
1105	Spectrogram 1	1	16091.238647461	16093.320678711	1200.0	1550.0	
1106	Spectrogram 1	1	16096.964233398	16098.786010742	1000.0	1750.0	
1107	Spectrogram 1	1	16101.778930664	16103.470581055	1300.0	1450.0	
1108	Spectrogram 1	1	16118.825561523	16119.866577148	1300.0	1450.0	
1109	Spectrogram 1	1	16126.893432617	16127.934448242	1300.0	1650.0	
1110	Spectrogram 1	1	16132.098510742	16133.399780273	1300.0	1450.0	
1111	Spectrogram 1	1	16139.385620117	16141.727905273	1300.0	1500.0	
1112	Spectrogram 1	1	16153.439331055	16154.740600586	1200.0	1450.0	
1113	Spectrogram 1	1	16156.562377930	16157.863647461	1200.0	1450.0	
1114	Spectrogram 1	1	16158.904663086	16162.027709961	1050.0	1700.0	
1115	Spectrogram 1	1	16169.314819336	16170.355834961	1000.0	1150.0	
1116	Spectrogram 1	1	16186.231323242	16189.354370117	1000.0	1700.0	
1117	Spectrogram 1	1	16190.655639648	16192.477416992	1300.0	1450.0	
1118	Spectrogram 1	1	16194.559448242	16195.860717773	1300.0	1450.0	
1119	Spectrogram 1	1	16213.557983398	16216.160522461	1100.0	1700.0	
1120	Spectrogram 1	1	16222.406616211	16225.009155273	1050.0	1750.0	
1121	Spectrogram 1	1	16225.529663086	16227.611694336	1200.0	1550.0	
1122	Spectrogram 1	1	16229.173217773	16230.214233398	1300.0	1450.0	
1123	Spectrogram 1	1	16231.125122070	16233.077026367	1300.0	1450.0	
1124	Spectrogram 1	1	16240.624389648	16242.706420898	1300.0	1450.0	
1125	Spectrogram 1	1	16243.747436523	16244.788452148	1200.0	1550.0	
1126	Spectrogram 1	1	16245.569213867	16246.610229492	1200.0	1350.0	
1127	Spectrogram 1	1	16249.733276367	16250.774291992	1300.0	1450.0	
1128	Spectrogram 1	1	16251.555053711	16252.596069336	1300.0	1600.0	
1129	Spectrogram 1	1	16255.198608398	16256.239624023	1300.0	1450.0	
1130	Spectrogram 1	1	16263.136352539	16265.348510742	1300.0	1450.0	
1131	Spectrogram 1	1	16271.074096680	16274.977905273	1300.0	1650.0	
1132	Spectrogram 1	1	16280.963745117	16282.525268555	1300.0	1450.0	
1133	Spectrogram 1	1	16285.127807617	16286.689331055	1050.0	1500.0	
1134	Spectrogram 1	1	16292.935424805	16295.017456055	1300.0	1450.0	
1135	Spectrogram 1	1	16296.839233398	16299.702026367	1150.0	1750.0	
1136	Spectrogram 1	1	16301.003295898	16303.085327148	1300.0	1450.0	
1137	Spectrogram 1	1	16308.550659180	16310.372436523	1200.0	1550.0	
1138	Spectrogram 1	1	16312.584594727	16314.536499023	1300.0	1450.0	
1139	Spectrogram 1	1	16321.563354492	16325.206909180	1050.0	1700.0	
1140	Spectrogram 1	1	16334.315795898	16335.617065430	1300.0	1450.0	
1141	Spectrogram 1	1	16337.699096680	16341.082397461	1200.0	1550.0	
1142	Spectrogram 1	1	16344.986206055	16349.931030273	1300.0	1550.0	
1143	Spectrogram 1	1	16347.068237305	16349.670776367	1000.0	1700.0	
1144	Spectrogram 1	1	16357.218139648	16359.039916992	1300.0	1550.0	
1145	Spectrogram 1	1	16361.642456055	16364.244995117	1300.0	1750.0	
1146	Spectrogram 1	1	16370.230834961	16373.093627930	1000.0	1700.0	
1147	Spectrogram 1	1	16375.435913086	16377.517944336	1300.0	1450.0	
1148	Spectrogram 1	1	16387.537719727	16389.489624023	1300.0	1450.0	
1149	Spectrogram 1	1	16397.297241211	16400.420288086	1200.0	1750.0	
1150	Spectrogram 1	1	16403.283081055	16404.844604492	1200.0	1750.0	
1151	Spectrogram 1	1	16411.350952148	16412.912475586	1300.0	1600.0	
1152	Spectrogram 1	1	16419.158569336	16422.541870117	1300.0	1450.0	
1153	Spectrogram 1	1	16420.980346680	16422.802124023	1100.0	1700.0	
1154	Spectrogram 1	1	16424.103393555	16425.925170898	1050.0	1650.0	
1155	Spectrogram 1	1	16442.841674805	16444.403198242	1300.0	1450.0	
1156	Spectrogram 1	1	16447.265991211	16448.827514648	1200.0	1700.0	
1157	Spectrogram 1	1	16450.649291992	16451.690307617	1300.0	1450.0	
1158	Spectrogram 1	1	16452.991577148	16454.813354492	1300.0	1550.0	
1159	Spectrogram 1	1	16456.635131836	16458.977416992	1100.0	1750.0	
1160	Spectrogram 1	1	16462.881225586	16464.963256836	1150.0	1550.0	
1161	Spectrogram 1	1	16475.113159180	16476.674682617	1300.0	1450.0	
1162	Spectrogram 1	1	16477.975952148	16480.838745117	1050.0	1700.0	
